rodada,data,time_mandante,time_visitante,points_mand_last_5,points_visit_last_5,colocacao_mandante_antes,colocacao_visitante_antes,publico_real
2,16/04/2024,Cuiabá-MT,EC Vitória,0,0,20,19,
2,16/04/2024,EC Bahia,Fluminense,0,1,16,9,22893
2,17/04/2024,Grêmio,Athletico-PR,0,3,17,1,13236
2,17/04/2024,RB Bragantino,Vasco da Gama,1,3,8,6,5448
2,17/04/2024,Atlético-MG,Criciúma EC,1,1,12,10,21649
2,17/04/2024,Palmeiras,Internacional,3,3,7,5,13464
2,17/04/2024,Fortaleza,Cruzeiro,3,2,4,2,21726
2,17/04/2024,Juventude,Corinthians,1,1,11,13,7478
2,17/04/2024,Flamengo,São Paulo,3,0,3,18,45116
2,18/04/2024,Botafogo,Atlético-GO,0,0,14,15,7801
