rodada,data,time_mandante,time_visitante,points_mand_last_5,points_visit_last_5,colocacao_mandante_antes,colocacao_visitante_antes,publico_real
6,11/05/2024,Criciúma EC,Cuiabá-MT,5,0,13,20,
6,11/05/2024,Flamengo,Corinthians,8,5,7,14,54005
6,11/05/2024,Atlético-MG,Grêmio,9,6,4,11,
6,12/05/2024,Palmeiras,Athletico-PR,8,10,6,1,12108
6,12/05/2024,Fortaleza,Botafogo,6,9,12,3,15645
6,12/05/2024,Atlético-GO,Cruzeiro,1,7,19,10,4711
6,12/05/2024,EC Bahia,RB Bragantino,10,9,2,5,36523
6,12/05/2024,Vasco da Gama,EC Vitória,3,1,17,18,10748
6,13/05/2024,São Paulo,Fluminense,7,5,8,16,39515
6,13/05/2024,Internacional,Juventude,7,5,9,15,
