rodada,data,time_mandante,time_visitante,points_mand_last_5,points_visit_last_5,colocacao_mandante_antes,colocacao_visitante_antes,publico_real
3,20/04/2024,Criciúma EC,Fortaleza,2,4,13,6,
3,20/04/2024,Fluminense,Vasco da Gama,1,3,15,11,23123
3,20/04/2024,Grêmio,Cuiabá-MT,3,0,8,20,22722
3,20/04/2024,RB Bragantino,Corinthians,4,1,4,16,9466
3,20/04/2024,Atlético-MG,Cruzeiro,2,4,14,5,36080
3,21/04/2024,EC Vitória,EC Bahia,0,3,17,9,27396
3,21/04/2024,Palmeiras,Flamengo,3,6,12,1,29956
3,21/04/2024,Athletico-PR,Internacional,3,6,7,2,28788
3,21/04/2024,Botafogo,Juventude,3,4,10,3,11318
3,21/04/2024,Atlético-GO,São Paulo,0,0,19,18,8024
