rodada;trimestre;dia_semana;time_mandante;time_visitante;points_mand_last_5;points_visit_last_5;colocacao_mandante_antes;colocacao_visitante_antes;grau_investimento_mandante;grau_investimento_visitante;media_investimento_mandante;media_investimento_visitante;publico
1;2º Trimestre;Quinta-Feira;Internacional;Botafogo;0.0;0.0;1.0;1.0;medio;baixo;0.44637800849457293;0.23078555838333445;11870.0
1;2º Trimestre;Quinta-Feira;Figueirense FC;Athletico-PR;0.0;0.0;1.0;1.0;baixo;baixo;0.15571048647160612;0.13298913509803084;6222.0
