Salário,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Experiência Profissional,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Estado,Linguagem Python,Linguagem R,Linguagem SQL,Linguagem C/C#/C++,PowerBI,Tableau
1500.0,Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),0,0,0,0,0,0
1500.0,Analista de BI,Grande,não,de 1 a 2 anos,de 1 a 2 anos,Estagiário,Estudante de Graduação,Outras Engenharias,Outras,Minas Gerais (MG),1,0,0,0,1,0
18000.0,Engenheiro de Dados,Média,não,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Telecomunicação,,0,0,0,0,0,0
,,,,de 4 a 5 anos,de 4 a 5 anos,Outros,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,,Rio de Janeiro (RJ),1,0,1,0,0,0
3500.0,Analista de Dados,Grande,não,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Outras,Minas Gerais (MG),0,0,0,0,0,0
10000.0,Desenvolvedor/Engenheiro de Software,Grande,não,Menos de 1 ano,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Educação,Minas Gerais (MG),0,0,0,0,0,0
,,,,Menos de 1 ano,de 2 a 3 anos,Outros,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,São Paulo (SP),0,0,0,0,0,0
7000.0,Engenheiro de Dados,Pequena,não,Mais de 10 anos,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Seguros ou Previdência,,1,0,1,0,1,0
10000.0,,Grande,sim,de 2 a 3 anos,Menos de 1 ano,Empregado (CTL),Pós-graduação,Outras Engenharias,Varejo,,1,1,1,0,1,0
5000.0,Cientista de Dados,Grande,não,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,São Paulo (SP),1,1,1,0,0,0
,,,,Não tenho experiência na área de dados,Menos de 1 ano,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,Espírito Santo (ES),0,0,0,0,0,0
