Salário,Profissão,Tamanho da Empresa,Cargo de Gestão,Experiência em DS,Experiência Profissional,Tipo de Trabalho,Escolaridade,Área de Formação,Setor de Mercado,Estado,Linguagem Python,Linguagem R,Linguagem SQL,Linguagem C/C#/C++,PowerBI,Tableau
,,,,Menos de 1 ano,de 1 a 2 anos,Outros,Não tenho graduação formal,,,Minas Gerais (MG),0,0,0,0,0,0
14000.0,Cientista de Dados,Média,não,Mais de 10 anos,de 4 a 5 anos,Empregado (CTL),Mestrado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,São Paulo (SP),1,1,0,0,0,0
10000.0,,Pequena,sim,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Mestrado,Outras Engenharias,Telecomunicação,Minas Gerais (MG),1,0,1,0,0,0
14000.0,,Grande,sim,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,São Paulo (SP),1,1,1,0,1,1
5000.0,Cientista de Dados,Média,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Internet/Ecommerce,Paraná (PR),1,1,1,0,0,1
5000.0,Outras,Grande,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,,0,0,0,0,0,0
,,,,Não tenho experiência na área de dados,de 1 a 2 anos,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,Minas Gerais (MG),0,0,0,0,0,0
2500.0,Outras,Grande,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
2500.0,,Pequena,sim,de 6 a 10 anos,Mais de 10 anos,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,Minas Gerais (MG),1,1,1,0,0,0
1500.0,Outras,Média,não,Menos de 1 ano,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Varejo,,0,0,0,0,0,0
5000.0,Engenheiro de Dados,Média,não,de 1 a 2 anos,de 2 a 3 anos,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,São Paulo (SP),1,0,1,0,0,0
,,,,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,Rio Grande do Sul (RS),1,0,0,0,1,0
7000.0,Cientista de Dados,Média,não,de 1 a 2 anos,de 1 a 2 anos,Empregado (CTL),Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,Rio de Janeiro (RJ),1,0,0,0,0,0
5000.0,,Pequena,sim,de 2 a 3 anos,Menos de 1 ano,Empregado (CTL),Não tenho graduação formal,,Outras,São Paulo (SP),1,1,1,0,1,0
2500.0,Engenheiro de Dados,Pequena,não,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,São Paulo (SP),1,0,0,0,0,0
7000.0,Desenvolvedor/Engenheiro de Software,Pequena,não,de 6 a 10 anos,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
3500.0,Cientista de Dados,Grande,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Mestrado,Outras Engenharias,Tecnologia/Fábrica de Software,,1,0,1,0,0,0
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,São Paulo (SP),0,0,0,0,0,0
1000.0,Analista de Dados,Pequena,não,de 1 a 2 anos,de 1 a 2 anos,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Alimentício,,0,0,1,0,1,0
3500.0,Analista de Dados,Pequena,não,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),1,0,1,0,0,0
2500.0,,Pequena,sim,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Telecomunicação,Minas Gerais (MG),0,0,0,0,0,0
3500.0,Analista de Dados,Média,não,de 1 a 2 anos,de 6 a 10 anos,Empregado (CTL),Não tenho graduação formal,,Tecnologia/Fábrica de Software,São Paulo (SP),1,0,1,0,0,1
2500.0,Analista de BI,Média,não,Mais de 10 anos,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,,1,0,1,0,0,0
7000.0,Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,Mais de 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Santa Catarina (SC),0,0,0,0,0,0
,,,,de 4 a 5 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Doutorado ou Phd,Química / Física,,São Paulo (SP),0,0,0,0,0,0
2500.0,Engenheiro de Dados,Pequena,não,de 1 a 2 anos,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,,1,0,0,0,0,0
7000.0,Desenvolvedor/Engenheiro de Software,Média,não,Mais de 10 anos,Mais de 10 anos,Empregado (CTL),Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),São Paulo (SP),0,0,1,1,0,0
1000.0,Analista de Dados,Pequena,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,,1,1,0,0,0,0
7000.0,Cientista de Dados,Pequena,não,de 2 a 3 anos,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Não tenho graduação formal,,Tecnologia/Fábrica de Software,Minas Gerais (MG),1,0,1,1,1,0
,,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,,Minas Gerais (MG),0,0,0,0,0,0
5000.0,Outras,Grande,não,Menos de 1 ano,Menos de 1 ano,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,Minas Gerais (MG),0,0,0,0,0,0
2500.0,Analista de Dados,Pequena,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Marketing,Minas Gerais (MG),1,1,1,1,1,1
5000.0,,Média,sim,de 2 a 3 anos,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Paraná (PR),0,0,0,0,0,0
3500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Santa Catarina (SC),0,0,0,0,0,0
,,,,de 1 a 2 anos,Menos de 1 ano,Outros,Mestrado,Outras Engenharias,,Santa Catarina (SC),1,0,1,0,0,0
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,,,0,0,0,0,0,0
7000.0,Analista de BI,Grande,não,de 6 a 10 anos,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),Paraná (PR),0,0,0,0,0,0
2500.0,,Pequena,sim,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),,0,0,0,0,0,0
1500.0,Cientista de Dados,Pequena,não,de 1 a 2 anos,Menos de 1 ano,Estagiário,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Finanças ou Bancos,Paraná (PR),1,1,1,0,0,0
10000.0,,Pequena,sim,Menos de 1 ano,Mais de 10 anos,Empregado (CTL),Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Outras,São Paulo (SP),0,0,0,0,0,0
1500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),0,0,0,0,0,0
3500.0,,Pequena,sim,Mais de 10 anos,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
5000.0,Analista de Dados,Grande,não,de 4 a 5 anos,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Telecomunicação,São Paulo (SP),0,0,1,0,0,0
2500.0,Analista de Dados,Média,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Entretenimento ou Esportes,Minas Gerais (MG),0,0,1,0,0,1
10000.0,Engenheiro de Dados,Média,não,de 2 a 3 anos,de 6 a 10 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,Minas Gerais (MG),0,0,1,0,0,0
5000.0,Desenvolvedor/Engenheiro de Software,Grande,não,de 1 a 2 anos,de 6 a 10 anos,Outros,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,,0,0,0,0,0,0
10000.0,Outras,Grande,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Setor Público,,0,0,0,0,0,0
2500.0,Desenvolvedor/Engenheiro de Software,Média,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Minas Gerais (MG),0,0,0,0,0,0
5000.0,,Média,sim,de 1 a 2 anos,Mais de 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),Minas Gerais (MG),0,0,0,0,0,0
1500.0,,Pequena,sim,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Varejo,Paraná (PR),0,0,0,0,0,0
18000.0,,Grande,sim,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),São Paulo (SP),0,0,0,0,0,0
14000.0,Outras,Grande,não,Mais de 10 anos,Menos de 1 ano,Outros,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Educação,Rio de Janeiro (RJ),1,0,1,0,1,1
5000.0,Analista de BI,Média,não,de 2 a 3 anos,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Paraná (PR),0,0,0,0,0,0
1500.0,Outras,Grande,não,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Estudante de Graduação,Outras Engenharias,Outras,Rio Grande do Sul (RS),0,0,0,0,0,0
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,,São Paulo (SP),1,1,1,0,1,0
3500.0,Analista de BI,Grande,não,de 1 a 2 anos,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),1,0,1,0,1,0
5000.0,Analista de BI,Média,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Outras,Outras,Minas Gerais (MG),0,0,0,0,0,0
18000.0,,Grande,sim,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Finanças ou Bancos,São Paulo (SP),1,1,1,0,0,0
2500.0,Analista de BI,Grande,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Santa Catarina (SC),0,0,0,0,0,0
,,,,Mais de 10 anos,de 4 a 5 anos,Outros,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,,Rio de Janeiro (RJ),1,0,0,0,0,0
10000.0,Desenvolvedor/Engenheiro de Software,Pequena,não,de 2 a 3 anos,de 2 a 3 anos,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Minas Gerais (MG),0,0,0,0,0,0
10000.0,Cientista de Dados,Pequena,não,de 4 a 5 anos,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Telecomunicação,São Paulo (SP),1,0,1,0,0,1
1500.0,Cientista de Dados,Grande,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,Rio Grande do Sul (RS),1,1,1,0,1,1
10000.0,Desenvolvedor/Engenheiro de Software,Grande,não,Mais de 10 anos,de 2 a 3 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças,Setor Farmaceutico,São Paulo (SP),0,0,0,0,0,0
1000.0,Analista de BI,Pequena,não,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Telecomunicação,Minas Gerais (MG),0,0,0,0,0,0
5000.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,,1,0,0,0,0,1
10000.0,Analista de BI,Pequena,não,Mais de 10 anos,Mais de 10 anos,Empregado (CTL),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Tecnologia/Fábrica de Software,Rio de Janeiro (RJ),0,0,0,0,0,0
7000.0,Analista de BI,Grande,não,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Mestrado,Marketing / Publicidade / Comunicação / Jornalismo,Agronegócios,São Paulo (SP),0,0,0,0,0,0
1500.0,Analista de BI,Pequena,não,Menos de 1 ano,Menos de 1 ano,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Tecnologia/Fábrica de Software,Santa Catarina (SC),0,0,0,0,0,0
5000.0,Analista de BI,Média,não,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Indústria (Manufatura),Minas Gerais (MG),0,0,0,0,0,0
,,,,de 6 a 10 anos,Menos de 1 ano,Outros,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,,Rio de Janeiro (RJ),0,1,1,0,0,0
10000.0,Analista de BI,Grande,não,de 4 a 5 anos,Menos de 1 ano,Outros,Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,,1,0,1,0,0,0
10000.0,Outras,Grande,não,de 1 a 2 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Setor Público,,0,0,0,0,0,0
14000.0,Cientista de Dados,Grande,não,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empreendedor ou Empregado (CNPJ),Pós-graduação,Estatística/ Matemática / Matemática Computacional,Varejo,Rio de Janeiro (RJ),0,0,1,0,1,0
7000.0,Outras,Grande,não,Menos de 1 ano,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),Espírito Santo (ES),0,0,0,0,0,0
14000.0,,Grande,sim,de 6 a 10 anos,de 4 a 5 anos,Empregado (CTL),Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação,Área da Saúde,São Paulo (SP),1,0,1,0,0,0
7000.0,Desenvolvedor/Engenheiro de Software,Grande,não,Não tenho experiência na área de dados,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Outras,Tecnologia/Fábrica de Software,Rio Grande do Sul (RS),0,0,0,0,0,0
2500.0,Cientista de Dados,Pequena,não,de 1 a 2 anos,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Outras,São Paulo (SP),1,0,1,0,0,0
7000.0,,Pequena,sim,de 4 a 5 anos,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Rio de Janeiro (RJ),1,0,1,0,0,0
5000.0,Analista de Dados,Média,não,Mais de 10 anos,de 4 a 5 anos,Empregado (CTL),Pós-graduação,Química / Física,Tecnologia/Fábrica de Software,,1,0,1,0,0,0
2500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Santa Catarina (SC),0,0,0,0,0,0
7000.0,Outras,Grande,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Telecomunicação,São Paulo (SP),1,0,1,0,0,1
7000.0,Outras,Grande,não,Mais de 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Mestrado,Outras,Setor Público,São Paulo (SP),0,0,0,0,0,0
2500.0,,Pequena,sim,Menos de 1 ano,de 1 a 2 anos,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Internet/Ecommerce,Paraná (PR),0,0,0,0,0,0
10000.0,Analista de BI,Média,não,de 6 a 10 anos,de 4 a 5 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
10000.0,Analista de BI,Grande,não,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Setor Público,,1,1,1,0,1,0
10000.0,,Média,sim,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras Engenharias,Outras,São Paulo (SP),1,0,1,0,0,1
2500.0,,Pequena,sim,Menos de 1 ano,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Marketing / Publicidade / Comunicação / Jornalismo,Outras,São Paulo (SP),0,0,0,0,0,0
18000.0,,Grande,sim,de 1 a 2 anos,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Finanças ou Bancos,São Paulo (SP),0,0,0,0,0,0
7000.0,Analista de Dados,Grande,não,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional,Setor Automotivo,Espírito Santo (ES),1,0,0,0,0,1
2500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,de 2 a 3 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Paraná (PR),0,0,0,0,0,0
5000.0,Engenheiro de Dados,Pequena,não,de 2 a 3 anos,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Santa Catarina (SC),0,0,0,0,0,0
3500.0,Outras,Grande,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Finanças ou Bancos,Paraná (PR),0,0,0,0,0,0
1500.0,Analista de Dados,Pequena,não,Menos de 1 ano,Menos de 1 ano,Estagiário,Estudante de Graduação,Outras,Finanças ou Bancos,São Paulo (SP),1,0,1,0,1,1
1500.0,Outras,Grande,não,Menos de 1 ano,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Educação,São Paulo (SP),0,0,0,0,0,0
7000.0,Analista de Dados,Média,não,de 2 a 3 anos,de 6 a 10 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Rio de Janeiro (RJ),1,0,0,0,0,1
5000.0,Engenheiro de Dados,Pequena,não,de 1 a 2 anos,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,1,0,1,0,0,0
1000.0,Outras,Pequena,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Graduação/Bacharelado,Outras,Outras,São Paulo (SP),0,0,0,0,0,0
5000.0,,Grande,sim,de 6 a 10 anos,Menos de 1 ano,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Rio de Janeiro (RJ),1,1,1,0,1,0
7000.0,Analista de BI,Grande,não,de 6 a 10 anos,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Paraná (PR),0,0,0,0,0,0
10000.0,Analista de Dados,Grande,não,de 2 a 3 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Mestrado,Outras,Tecnologia/Fábrica de Software,São Paulo (SP),0,1,1,0,0,1
5000.0,Analista de Dados,Grande,não,de 4 a 5 anos,de 6 a 10 anos,Empregado (CTL),Mestrado,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),São Paulo (SP),0,1,1,1,0,0
10000.0,Analista de BI,Grande,não,de 4 a 5 anos,de 2 a 3 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Indústria (Manufatura),Minas Gerais (MG),0,0,0,0,0,0
2500.0,Desenvolvedor/Engenheiro de Software,Grande,não,Menos de 1 ano,de 1 a 2 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,1,0,1,0,0,0
5000.0,Desenvolvedor/Engenheiro de Software,Média,não,Menos de 1 ano,de 1 a 2 anos,Empregado (CTL),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,0,0,0,0,0,0
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,,São Paulo (SP),0,0,0,0,0,0
1000.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Menos de 1 ano,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Setor Público,Espírito Santo (ES),0,0,0,0,0,0
18000.0,Cientista de Dados,Média,não,de 6 a 10 anos,Menos de 1 ano,Outros,Pós-graduação,Economia/ Administração / Contabilidade / Finanças,Setor Público,Rio Grande do Sul (RS),1,0,0,0,0,0
5000.0,Analista de Dados,Pequena,não,de 1 a 2 anos,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Outras Engenharias,Outras,Rio de Janeiro (RJ),1,0,1,1,1,0
3500.0,Analista de Dados,Pequena,não,de 2 a 3 anos,de 2 a 3 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Paraná (PR),1,0,1,0,1,1
3500.0,,Grande,sim,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Graduação/Bacharelado,Outras,Outras,São Paulo (SP),0,0,0,0,0,0
5000.0,,Pequena,sim,de 6 a 10 anos,de 4 a 5 anos,Empreendedor ou Empregado (CNPJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,,1,0,1,0,1,0
7000.0,Analista de Dados,Média,não,de 1 a 2 anos,de 6 a 10 anos,Empregado (CTL),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Santa Catarina (SC),1,0,1,0,0,0
7000.0,,Pequena,sim,de 1 a 2 anos,de 6 a 10 anos,Empreendedor ou Empregado (CNPJ),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,Rio Grande do Sul (RS),0,1,0,0,1,0
,,,,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Outros,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,,São Paulo (SP),0,0,0,0,0,0
1500.0,Outras,Grande,não,Não tenho experiência na área de dados,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Estagiário,Estudante de Graduação,Economia/ Administração / Contabilidade / Finanças,Outras,Minas Gerais (MG),0,0,0,0,0,0
2500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,Não tenho experiência na área de dados,Menos de 1 ano,Empreendedor ou Empregado (CNPJ),Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação,Tecnologia/Fábrica de Software,São Paulo (SP),0,0,0,0,0,0
1500.0,Desenvolvedor/Engenheiro de Software,Pequena,não,de 1 a 2 anos,Menos de 1 ano,Estagiário,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação,Outras,Minas Gerais (MG),0,0,0,0,0,0
5000.0,Cientista de Dados,Grande,não,de 6 a 10 anos,Não tive experiência na área de TI/Engenharia de Software antes de começar a trabalhar na área de dados,Empregado (CTL),Não tenho graduação formal,,Tecnologia/Fábrica de Software,,1,0,0,0,0,0
,,,,Menos de 1 ano,Menos de 1 ano,Outros,Graduação/Bacharelado,Outras Engenharias,,Minas Gerais (MG),0,0,0,0,0,0
